Pt1,01,559035.511,3371480.122,31.145
Pt2,027,559025.277,3371365.418,31.321
pd2,,559184.084,3371541.873,26.866
pd3,,559183.452,3371533.569,26.847
pd4,,559184.075,3371524.594,26.844
pd5,,559184.704,3371515.474,26.831
pd6,,559185.337,3371506.358,26.829
pd7,,559185.987,3371497.239,26.864
pd8,,559186.733,3371486.674,26.886
pd9,,559187.904,3371469.886,26.857
pd10,,559189.537,3371446.779,26.850
pd11,,559190.162,3371441.737,26.857
pd12,,559192.833,3371432.600,26.879
pd13,,559194.361,3371429.225,26.859
pd14,,559199.280,3371421.504,26.856
pd15,,559206.414,3371414.226,26.861
pd16,,559214.585,3371408.892,26.872
pd17,,559220.695,3371406.296,26.867
pd18,,559228.950,3371404.299,26.875
pd19,,559238.017,3371403.862,26.875
pd20,,559247.812,3371405.446,26.880
pd21,,559256.766,3371408.937,26.900
pd22,,559264.147,3371413.673,26.899
pd23,,559269.232,3371418.289,26.889
pd24,,559274.099,3371424.446,26.892
pd25,,559277.707,3371430.911,26.880
pd26,,559280.209,3371437.846,26.876
pd27,,559281.443,3371444.058,26.881
pd28,,559281.830,3371449.374,26.891
pd29,,559281.665,3371453.915,26.894
pd30,,559280.349,3371472.823,26.888
pd31,,559278.964,3371492.548,26.877
pd32,,559276.927,3371521.646,26.873
pd33,,559275.761,3371538.004,26.854
pd34,,559275.164,3371542.623,26.877
pd35,,559274.222,3371546.670,26.863
pd36,,559273.122,3371550.094,26.857
pd37,,559271.795,3371553.355,26.854
pd38,,559270.963,3371555.069,26.856
pd39,,559268.487,3371559.415,26.863
pd40,,559266.336,3371562.439,26.859
pd41,,559262.676,3371566.644,26.868
pd42,,559259.099,3371569.921,26.885
pd43,,559253.453,3371573.897,26.865
pd44,,559248.222,3371576.593,26.850
pd45,,559239.891,3371579.340,26.847
pd46,,559231.913,3371580.415,26.861
pd47,,559225.453,3371580.276,26.856
pd48,,559216.513,3371578.542,26.857
pd49,,559208.005,3371575.055,26.884
pd50,,559198.910,3371568.716,26.869
pd51,,559194.828,3371564.567,26.882
pd52,,559192.487,3371561.642,26.898
pd53,,559189.539,3371557.103,26.875
pd54,,559181.520,3371560.917,26.814
pd55,,559187.043,3371551.981,26.890
pd56,,559185.200,3371546.716,26.873
pd57,,559194.092,3371537.142,26.737
JJpd58,,559195.128,3371542.042,26.761
pd58,,559196.170,3371501.668,26.765
JJpd59,,559198.789,3371489.671,26.771
pd59,,559198.593,3371467.676,26.752
pd60,,559172.265,3371450.410,31.230
pd61,,559167.604,3371525.076,31.198
pd62,,559178.093,3371525.169,26.790
pd63,,559183.366,3371451.115,26.811
pd64,,559199.274,3371457.782,26.800
pd65,,559199.976,3371447.907,26.790
pd66,,559200.460,3371443.806,26.789
JJpd67,,559202.471,3371437.282,26.740
pd67,,559202.292,3371437.175,26.763
pd68,,559203.543,3371434.439,26.746
pd69,,559205.673,3371430.593,26.814
pd70,,559209.043,3371426.225,26.811
pd71,,559212.941,3371422.470,26.807
pd72,,559219.352,3371418.187,26.810
pd73,,559227.494,3371415.202,26.812
pd74,,559238.059,3371414.360,26.811
wpd75,,559236.459,3371399.131,27.116
wpd76,,559236.480,3371398.390,27.140
wpd77,,559235.048,3371398.267,27.144
wpd78,,559235.175,3371396.411,27.157
wpd79,,559236.630,3371396.465,27.185
wpd80,,559236.691,3371395.916,27.138
wpd81,,559242.069,3371399.567,27.108
wpd82,,559242.127,3371398.815,27.108
wpd83,,559243.558,3371398.905,27.119
